director_id,director,year,category
7815,DAVID MACKENZIE,2017,Movies for Grownups Award
7872,BILLY WILDER,1988,Irving G. Thalberg Memorial Award
7965,OLIVER STONE,1996,Oscar
8062,STEPHEN FREARS,2007,Oscar
8192,MERIAN C. COOPER,1953,Honorary Award
8197,CHRIS WEITZ,2003,Oscar
8213,TAKESHI KITANO,2012,Black Pearl Award
8292,DANNY DEVITO,2001,Oscar
8340,LASSE SPANG OLSEN,2001,Audience Award
8345,JERRY ZUCKER,1982,Primetime Emmy
8357,MEL STUART,1965,Oscar
8365,GUY HAMILTON,1961,BAFTA Film Award
8368,ROMAN POLANSKI,2003,Oscar
8512,RICHARD BROOKS,1968,Oscar
8553,JEAN-LUC GODARD,2011,Honorary Award
8629,TAGE DANIELSSON,1985,Silver Berlin Bear
8633,HANS WEINGARTNER,2004,Palme d'Or
8649,JONATHAN DEMME,1992,Oscar
8706,LEN WISEMAN,2003,Rondo Statuette
8707,FRANK DARABONT,2000,Oscar
8745,MILOŠ FORMAN,1997,Oscar
8810,KATHRYN BIGELOW,2013,Oscar
8935,RON SHELTON,1989,Oscar
8943,FRED ZINNEMANN,1978,Oscar
9014,MICHAEL CURTIZ,1944,Oscar
9031,STACY PERALTA,2001,Audience Award
9040,ROBERT REDFORD,2002,Honorary Award
9124,DONNA DEITCH,1998,Gold Hugo
9130,JONATHAN MOSTOW,1998,OFTA Television Award
9133,HOWARD HAWKS,1975,Honorary Award
9145,FRANÇOIS OZON,2012,BAFTA Film Award
9236,JOHN LANDIS,2008,Primetime Emmy
9257,ROBERTO ROSSELLINI,1950,Oscar
9281,JIM JARMUSCH,2013,Foxtel Movies International Award
9356,THOMAS VINTERBERG,2013,BAFTA Film Award
9440,TOM SHADYAC,2012,Humanitas Prize
9441,SERGIO LEONE,1985,Golden Globe
9452,CAROLINE LINK,2009,Honorary Bambi
9483,MARC EVANS,2006,EDA Special Mention Award
9498,PITOF,1998,Saturn Award
9508,RUSS MEYER,1979,Stinker Award
9509,ANDREAS DRESEN,2001,Adolf Grimme Award in Gold
9569,JASMILA ZBANIC,2013,Black Pearl Award
9593,ÉMILE GAUDREAULT,2004,Canadian Comedy Award
9599,DAVID R. ELLIS,2004,Taurus Award
9600,JOE JOHNSTON,1982,Oscar
9608,DAVID KELLOGG,1997,DGA Award
9611,DEEPA MEHTA,2006,EDA Female Focus Award
9653,PAUL THOMAS ANDERSON,2015,Oscar
9840,FRANÇOIS DUPEYRON,2001,Palme d'Or
9862,WOLFGANG BECKER,1978,Golden Camera
9863,LIEV SCHREIBER,2017,Golden Globe
9907,MANUEL PRADAL,1998,Tiger Award
9908,MARCO KREUZPAINTNER,2016,FilmOut Audience Awards
9915,HAL ASHBY,1979,Oscar
9929,PETER THORWARTH,1997,Silver Plaque
9934,AKIRA KUROSAWA,1990,Honorary Award
10016,ROBERT SIODMAK,1947,Oscar
10024,OLIVIER DUCASTEL,2016,Teddy Audience Award
10044,DAVID FRANKEL,1997,Oscar
10057,VALESKA GRISEBACH,2002,Adolf Grimme Award
10082,FATIH AKIN,2001,Adolf Grimme Award
10150,WES CRAVEN,1997,Saturn Award
10166,BARRY LEVINSON,1992,Oscar
10232,GUS VAN SANT,2009,Oscar
10326,WOLFGANG PETERSEN,1983,Oscar
10343,SPIKE LEE,2016,Honorary Award
10441,SIDNEY LUMET,2005,Honorary Award
10523,LASSE HALLSTRÖM,2000,Oscar
10552,PAUL W.S. ANDERSON,1998,Pegasus Audience Award
10556,MIKE NICHOLS,1994,Oscar
10609,LAWRENCE KASDAN,1992,Oscar
10651,BENNETT MILLER,2015,Oscar
10688,GARY FLEDER,1995,CableACE
10694,ZACH BRAFF,2007,Golden Globe
10736,PAUL VERHOEVEN,2007,BAFTA Film Award
10809,BRUCE BERESFORD,1984,Oscar
10841,DAVID LYNCH,2002,Oscar
10937,FEDERICO FELLINI,1993,Honorary Award
11028,MATHIEU KASSOVITZ,2001,Best Actor
11052,DAVID HAND,1984,Winsor McCay Award
11053,ANTHONY MINGHELLA,2009,Oscar
11131,ANDREW ADAMSON,2005,Oscar
11156,JOEL SCHUMACHER,2004,Movies for Grownups Award
11174,HELMUT DIETL,1987,Adolf Grimme Award
11192,WES ANDERSON,2015,Oscar
11375,CHRIS WEDGE,2003,Oscar
11388,JACQUES TATI,1956,Oscar
11402,STEFAN KROHMER,2013,Adolf Grimme Award
11415,VINCENZO NATALI,2003,Golden Raven
11444,DETLEV BUCK,2012,Bambi
11467,ROLAND EMMERICH,1999,Saturn Award
11495,JOSHUA MARSTON,2005,Silver Condor
11539,ANDRZEJ SEKULA,1995,BAFTA Film Award
11545,COLIN STRAUSE,1997,VMA
11548,REZA BAGHER,2004,Audience Camério
11554,MICHAEL HANEKE,2013,Oscar
11715,HANS-CHRISTIAN SCHMID,1998,Adolf Grimme Award
11766,MIKE FIGGIS,1996,Oscar
11797,RON HOWARD,2009,Oscar
11903,BAZ LUHRMANN,2002,Oscar
11975,GURINDER CHADHA,2003,Alexander Korda Award for Best British Film
12000,ERNST MARISCHKA,1946,Oscar
12004,DANI LEVY,1996,Alfred Bauer Award - Honorable Mention
12018,KAY POLLAK,2005,Amanda
12029,CATHERINE BREILLAT,2001,Manfred Salzgeber Award
12046,ALAN J. PAKULA,1983,Oscar
12069,NICK HAMM,1992,BAFTA Film Award
12073,MACIEJ DEJCZER,1990,C.I.C.A.E. Award
12079,DARREN ARONOFSKY,2011,Oscar
12189,ARTHUR PENN,1970,Oscar
12215,JOHN SINGLETON,1992,Oscar
12246,MIRA NAIR,2002,BAFTA Film Award
12297,GORDON PARKS,2003,Behind the Lens Award
12299,JOHN HUSTON,1986,Oscar
12393,INGMAR BERGMAN,1984,Oscar
12498,SPIKE JONZE,2014,Oscar
12647,JOHN GUILLERMIN,1980,Evening Standard British Film Award
12652,LARRY CHARLES,2012,Primetime Emmy
12676,AGNÈS VARDA,2017,Foxtel Movies International Award
12739,WERNER HERZOG,2009,Oscar
12841,PATTY JENKINS,2011,Primetime Emmy
12853,ROGER AVARY,1995,Oscar
12868,RICHARD CURTIS,1995,Oscar
12920,ROGER MICHELL,2015,BAFTA TV Award
12942,RICHARD DONNER,2000,President's Award
12958,LEE TAMAHORI,1994,Audience Award
12972,NICK PARK,2010,Oscar
13052,MCG,2002,Hollywood Breakthrough Award
13055,ADRIAN LYNE,1988,Oscar
13064,STÉPHANE BRIZÉ,2015,Audience Award
13089,ANGELA ROBINSON,2003,Jury Award
13100,CARLOS CARRERA,1991,Golden Unicorn
13140,BOBBY FARRELLY,1998,BSFC Award
13147,DUNCAN TUCKER,2006,Golden Kinnaree Award
13158,JULIAN SCHNABEL,2008,Oscar
13210,DAVID FINCHER,2011,Oscar
13376,RONALD NEAME,1948,Oscar
13390,SILVIO SOLDINI,2002,Sergio Leone Award
13437,ALEKSANDR ROGOZHKIN,2004,Golden Berlin Bear
13472,ROMED WYDER,2015,Award of Excellence
13475,SAM RAIMI,2008,Saturn Award
13505,FRANCIS LAWRENCE,2014,Saturn Award
13521,STEPHEN SOMMERS,2000,Saturn Award
13524,PÅL SLETAUNE,2012,Amanda
13538,OLIVER HIRSCHBIEGEL,2010,BAFTA TV Award
13574,SAM PECKINPAH,1970,Oscar
13586,JEANNOT SZWARC,1981,Critics Award
13590,JOSEPH SARGENT,2005,Primetime Emmy
13620,KEVIN COSTNER,1991,Oscar
13708,FLORIAN HENCKEL VON DONNERSMARCK,2008,BAFTA Film Award
13768,TERRY JONES,2004,Primetime Emmy
13776,PETE DOCTER,2016,Oscar
13876,CHRISTOPHE GANS,2002,Saturn Award
13883,ANDREI TARKOVSKY,1988,BAFTA Film Award
13912,ROBERT MULLIGAN,1963,Oscar
13928,JOHN FORD,1953,Oscar
13977,FERNANDO MEIRELLES,2004,Oscar
14065,LILLY WACHOWSKI,2007,Saturn Award
14095,BARRY SONNENFELD,2008,Primetime Emmy
14110,EDWARD ZWICK,2001,Oscar
14152,JOHN MCNAUGHTON,2014,BloodGuts UK Horror Award
14164,D.W. GRIFFITH,1936,Honorary Award
14168,MICK JACKSON,2010,Primetime Emmy
14191,IVAN REITMAN,2010,Oscar
14210,RANDAL KLEISER,1978,Primetime Emmy
14214,CHARLES CRICHTON,1989,Oscar
14227,DENNIS HOPPER,1987,Oscar
14265,ROLAND JOFFÉ,1987,Oscar
14287,NEIL JORDAN,1993,Oscar
14364,BRYAN SINGER,2009,Primetime Emmy
14402,VICTOR FLEMING,1940,Oscar
14408,F.W. MURNAU,2003,Teddy
14411,SHARON MAGUIRE,2017,EDA Special Mention Award
14417,ROBERTO BENIGNI,1999,Oscar
14491,GEORGE ROY HILL,1974,Oscar
14506,SERGEI M. EISENSTEIN,1979,Honorary Golden Prize
14510,TERENCE YOUNG,1967,Golden Laurel
14512,JEAN COCTEAU,1961,BAFTA Film Award
14517,ROBERT ALTMAN,2006,Honorary Award
14647,VOLKER SCHLÖNDORFF,1986,Primetime Emmy
14709,CHRIS MARKER,1983,OCIC Award - Honorable Mention
14724,JAN DE BONT,1995,Saturn Award
14731,WILLIAM WYLER,1966,Irving G. Thalberg Memorial Award
14791,WALTER SALLES,2005,BAFTA Film Award
14867,LEWIS GILBERT,1967,Oscar
14884,PETER R. HUNT,1983,ACE
14885,ROBERT J. FLAHERTY,1949,Oscar
14892,PARK CHAN-WOOK,2017,EDA Award
14989,CHRIS COLUMBUS,2012,Oscar
15015,ALFONSO CUARÓN,2014,Oscar
15174,MIKE NEWELL,1995,David Lean Award for Direction
15199,DAVID YATES,2006,Primetime Emmy
15233,LENI RIEFENSTAHL,1941,Kinema Junpo Award
15239,TIM ROBBINS,2004,Oscar
15312,THEO ANGELOPOULOS,2001,Silver Condor
15384,ROBERT BRESSON,1977,Silver Berlin Bear
15428,JOHN WATERS,1997,Jack Smith Lifetime Achievement Award
15437,JAY ROACH,2016,Primetime Emmy
15454,JOHN GLEN,1993,Yoga Award
15455,RICHARD LESTER,1966,BAFTA Film Award
15470,JOSEPH L. MANKIEWICZ,1973,Oscar
15512,MARTIN CAMPBELL,2007,Alexander Korda Award for Best British Film
15517,JANE CAMPION,1994,Oscar
15598,ROGER SPOTTISWOODE,1994,Primetime Emmy
15612,LUKAS MOODYSSON,1999,Grand Prize of the City of Portimão
15686,PETER LICHTEFELD,2005,Emden Film Award
15691,M. NIGHT SHYAMALAN,2000,Oscar
15735,BERNARDO BERTOLUCCI,1988,Oscar
15806,EDGAR WRIGHT,2005,Alexander Korda Award for Best British Film
15841,JAMES MCTEIGUE,2006,CFCA Award
15844,JOHN CASSAVETES,1975,Oscar
15876,JOHN WOO,1998,Saturn Award
15905,SAMUEL ARMSTRONG,1941,Hugo
15906,GÉRARD OURY,1993,Honorary César
15908,CLAUDE ZIDI,1985,César
15910,ALBERT HUGHES,2011,Black Reel
15918,JONATHAN DAYTON,2007,David Lean Award for Direction
15959,JEAN RENOIR,1975,Honorary Award
